column,meaning,status,why,pct_blank,what_we_do,group
mths_since_last_record,Months since their last public record (blank = none),KEEP,Credit-bureau fact known when they applied.,81.61,"add a '_missing' flag, then fill with the training median",BUREAU_CORE
mths_since_recent_bc_dlq,Months since last late on a credit card (blank = never),KEEP,Credit-bureau fact known when they applied.,74.32,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
mths_since_last_major_derog,"Months since a serious black mark, 90+ days late (blank = none)",KEEP,Credit-bureau fact known when they applied.,70.97,"add a '_missing' flag, then fill with the training median",BUREAU_CORE
mths_since_recent_revol_delinq,Months since last late on a credit card or line (blank = never),KEEP,Credit-bureau fact known when they applied.,63.84,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
mths_since_last_delinq,Months since they were last behind on a payment (blank = never),KEEP,Credit-bureau fact known when they applied.,47.78,"add a '_missing' flag, then fill with the training median",BUREAU_CORE
mths_since_recent_inq,Months since a lender last checked their credit (blank = none recently),KEEP,Credit-bureau fact known when they applied.,10.53,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
emp_length,"How long they have been employed, 0 to 10+ years",KEEP,Stated by the borrower on the application form.,6.08,blank becomes an 'Unknown' category,APPLICATION_STATED
num_tl_120dpd_2m,Accounts 120+ days late in the last 2 months,KEEP,Credit-bureau fact known when they applied.,4.75,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
mo_sin_old_il_acct,Months since their oldest installment loan was opened,KEEP,Credit-bureau fact known when they applied.,2.8,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
bc_util,% of their credit card limits used,KEEP,Credit-bureau fact known when they applied.,1.06,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
percent_bc_gt_75,% of their credit cards charged above 75% of the limit,KEEP,Credit-bureau fact known when they applied.,1.04,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
bc_open_to_buy,Credit card headroom left: limit minus balance,KEEP,Credit-bureau fact known when they applied.,1.01,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
mths_since_recent_bc,Months since their newest credit card was opened,KEEP,Credit-bureau fact known when they applied.,0.96,"add a '_missing' flag, then fill with the training median",BUREAU_EXTENDED
revol_util,% of their credit card limits currently used,KEEP,Credit-bureau fact known when they applied.,0.05,fill with the training median (too few blanks to flag),BUREAU_CORE
dti,Debt-to-income: monthly debt payments as a % of monthly income,KEEP,Stated by the borrower on the application form.,0.01,fill with the training median (too few blanks to flag),APPLICATION_STATED
loan_amnt,How much the borrower asked to borrow,KEEP,Stated by the borrower on the application form.,0,use as-is (nothing missing),APPLICATION_STATED
term,Length of the loan: 36 or 60 months,KEEP,Stated by the borrower on the application form.,0,one-hot encode (text -> columns of 0/1),APPLICATION_STATED
home_ownership,"Do they rent, own outright, or have a mortgage",KEEP,Stated by the borrower on the application form.,0,one-hot encode (text -> columns of 0/1),APPLICATION_STATED
